feature,importance
h3_res7_price_median,0.3720439
city_x_zone_premium,0.25921136
zone_premium,0.124191895
super_luxury_flag,0.0778167
img_condition_x_price,0.069521256
affordable_flag,0.04014322
locality_premium,0.007312066
city_tier,0.0063300263
img_quality_flag,0.006047937
legal_x_fraud_score,0.0055983253
micro_market_premium,0.004088023
city_base_psf,0.003975845
size_bucket_encoded,0.003595889
property_type_encoded,0.0027179925
img_condition_score,0.0027037438
area_sqft,0.0025637825
circle_x_market_heat,0.00077568484
lon,0.00071391097
zone_encoded,0.000634611
bedrooms,0.0005673053
infra_index,0.00047889905
listing_price_sqft,0.00040699317
area_x_liquidity,0.00038346747
market_heat_index,0.0003782599
city_population_m,0.00032060046
lat,0.00026952135
circle_rate_sqft,0.00015665742
crz_flag,0.00014201371
bathrooms,0.00012515674
heritage_zone_flag,0.000121518824
